pca,whiten,mcs,ms,method,n_clusters,noise_pct,ARI_core,ARI_reassign,NMI,top1,k5
0,0,10,3,eom,2,4.67,0.0003,0.0013,0.015,0.9387,0.9143
0,0,10,5,eom,2,5.87,0.0004,0.0021,0.0152,0.9387,0.9143
0,0,10,10,eom,2,77.53,0.8226,0.2866,0.7766,0.9387,0.9143
0,0,10,15,eom,2,77.8,0.8029,0.2866,0.7569,0.9387,0.9143
0,0,15,3,eom,2,45.2,0.0289,0.1754,0.0629,0.9387,0.9143
0,0,15,5,eom,2,75.6,0.8635,0.2874,0.7962,0.9387,0.9143
0,0,15,10,eom,2,77.53,0.8226,0.2866,0.7766,0.9387,0.9143
0,0,15,15,eom,2,77.8,0.8029,0.2866,0.7569,0.9387,0.9143
0,0,20,3,eom,2,73.4,0.8724,0.2908,0.7726,0.9387,0.9143
0,0,20,5,eom,2,75.6,0.8635,0.2874,0.7962,0.9387,0.9143
0,0,20,10,eom,2,77.53,0.8226,0.2866,0.7766,0.9387,0.9143
0,0,20,15,eom,2,96.07,0.0,0.0653,0.0,0.9387,0.9143
0,0,30,3,eom,2,73.4,0.8724,0.2908,0.7726,0.9387,0.9143
0,0,30,5,eom,2,75.6,0.8635,0.2874,0.7962,0.9387,0.9143
0,0,30,10,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,30,15,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,40,3,eom,2,73.4,0.8724,0.2908,0.7726,0.9387,0.9143
0,0,40,5,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,40,10,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,40,15,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,50,3,eom,2,73.4,0.8724,0.2908,0.7726,0.9387,0.9143
0,0,50,5,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,50,10,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,50,15,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,3,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,5,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,10,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,15,eom,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,10,3,leaf,10,87.47,0.3199,0.1501,0.5456,0.9387,0.9143
0,0,10,5,leaf,6,89.87,0.3995,0.1907,0.5607,0.9387,0.9143
0,0,10,10,leaf,3,94.2,0.4944,0.213,0.6922,0.9387,0.9143
0,0,10,15,leaf,3,94.8,0.4755,0.2177,0.683,0.9387,0.9143
0,0,15,3,leaf,5,89.47,0.4603,0.2046,0.5784,0.9387,0.9143
0,0,15,5,leaf,3,92.13,0.5369,0.2131,0.6816,0.9387,0.9143
0,0,15,10,leaf,3,94.2,0.4944,0.213,0.6922,0.9387,0.9143
0,0,15,15,leaf,3,94.8,0.4755,0.2177,0.683,0.9387,0.9143
0,0,20,3,leaf,3,89.93,0.5527,0.2171,0.6652,0.9387,0.9143
0,0,20,5,leaf,3,92.13,0.5369,0.2131,0.6816,0.9387,0.9143
0,0,20,10,leaf,3,94.2,0.4944,0.213,0.6922,0.9387,0.9143
0,0,20,15,leaf,2,96.07,0.0,0.0653,0.0,0.9387,0.9143
0,0,30,3,leaf,3,89.93,0.5527,0.2171,0.6652,0.9387,0.9143
0,0,30,5,leaf,3,92.13,0.5369,0.2131,0.6816,0.9387,0.9143
0,0,30,10,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,30,15,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,40,3,leaf,3,89.93,0.5527,0.2171,0.6652,0.9387,0.9143
0,0,40,5,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,40,10,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,40,15,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,50,3,leaf,2,73.4,0.8724,0.2908,0.7726,0.9387,0.9143
0,0,50,5,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,50,10,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,50,15,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,3,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,5,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,10,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
0,0,75,15,leaf,0,100.0,0.0,0.0,0.0,0.9387,0.9143
32,0,10,3,eom,5,27.8,0.3586,0.2523,0.3475,0.934,0.9135
32,0,10,5,eom,4,32.8,0.3614,0.2481,0.3361,0.934,0.9135
32,0,10,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,10,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,15,3,eom,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,15,5,eom,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,15,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,15,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,20,3,eom,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,20,5,eom,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,20,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,20,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,30,3,eom,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,30,5,eom,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,30,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,30,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,40,3,eom,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,40,5,eom,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,40,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,40,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,50,3,eom,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,50,5,eom,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,50,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,50,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,75,3,eom,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,75,5,eom,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,75,10,eom,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,75,15,eom,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,10,3,leaf,10,82.8,0.4391,0.1988,0.654,0.934,0.9135
32,0,10,5,leaf,8,84.53,0.6229,0.2852,0.6822,0.934,0.9135
32,0,10,10,leaf,4,75.33,0.2955,0.2087,0.4825,0.934,0.9135
32,0,10,15,leaf,3,65.33,0.2416,0.2219,0.4316,0.934,0.9135
32,0,15,3,leaf,5,79.33,0.7988,0.2992,0.7985,0.934,0.9135
32,0,15,5,leaf,5,85.73,0.7727,0.3226,0.7853,0.934,0.9135
32,0,15,10,leaf,3,64.13,0.2339,0.2228,0.4223,0.934,0.9135
32,0,15,15,leaf,3,65.33,0.2416,0.2219,0.4316,0.934,0.9135
32,0,20,3,leaf,4,80.33,0.8167,0.3468,0.8224,0.934,0.9135
32,0,20,5,leaf,4,86.73,0.852,0.3452,0.8435,0.934,0.9135
32,0,20,10,leaf,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,20,15,leaf,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,30,3,leaf,4,80.33,0.8167,0.3468,0.8224,0.934,0.9135
32,0,30,5,leaf,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,30,10,leaf,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,30,15,leaf,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,40,3,leaf,4,80.33,0.8167,0.3468,0.8224,0.934,0.9135
32,0,40,5,leaf,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,40,10,leaf,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,40,15,leaf,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,50,3,leaf,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,50,5,leaf,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,50,10,leaf,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
32,0,50,15,leaf,2,27.8,0.3822,0.2585,0.3603,0.934,0.9135
32,0,75,3,leaf,2,22.93,0.3713,0.2678,0.3615,0.934,0.9135
32,0,75,5,leaf,2,23.47,0.364,0.2577,0.3485,0.934,0.9135
32,0,75,10,leaf,2,26.6,0.3858,0.2585,0.3658,0.934,0.9135
