embedding,rule,cfg,capture,recov,noise_pct,nzcls_to_noise,n_clusters,completeness,homogeneity,ami,ari,capture_detail
DINOv3_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.0345,0.0345,14.97,32.0,1,0.0,0.0,0.0,0.0,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
DINOv3_frozen,hdb_unsup_sel,mcs5_ms3_eom_e0.0,0.1034,0.0393,15.79,26.0,3,0.4631,0.0074,0.0057,0.0002,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 1.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 1.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
DINOv3_frozen,hdb_dbcv_sel,mcs5_ms10_leaf_e0.0,0.2069,0.0669,74.28,50.0,6,0.9038,0.3224,0.4408,0.173,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 1.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 1.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 1.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 1.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
DINOv3_frozen,hdb_oracle,mcs20_ms5_leaf_e0.0,0.1034,0.0772,65.17,41.0,3,0.988,0.3436,0.4965,0.181,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 1.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 1.0, ""L+S"": 0.0}"
DINOv3_frozen,kmeans_khat(k̂=2),silhouette-k,,,0.0,,2,,,,0.0379,
umap10+DINOv3_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.1379,0.1117,0.0,0.0,4,0.8419,0.2993,0.434,0.1174,"{""C+EL"": 0.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 1.0, ""C+ER+S"": 0.0, ""C+L"": 1.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 1.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
umap10+DINOv3_frozen,hdb_unsup_sel,mcs5_ms10_eom_e0.0,0.1034,0.1034,0.0,0.0,3,0.9186,0.2943,0.4409,0.1161,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 1.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
umap10+DINOv3_frozen,hdb_dbcv_sel,mcs5_ms10_eom_e0.0,0.1034,0.1034,0.0,0.0,3,0.9186,0.2943,0.4409,0.1161,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 1.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
umap10+DINOv3_frozen,hdb_oracle,mcs40_ms5_leaf_e0.2,0.4138,0.2076,14.34,2.0,13,0.6073,0.446,0.488,0.2192,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 1.0, ""C+ER+S"": 0.0, ""C+L"": 1.0, ""C+L+S"": 1.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 1.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 1.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 1.0, ""D+ER+S"": 1.0, ""D+L"": 1.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 1.0, ""ER+S"": 0.0, ""L+S"": 1.0}"
umap10+DINOv3_frozen,kmeans_khat(k̂=5),silhouette-k,,,0.0,,5,,,,0.1161,
