embedding,rule,cfg,capture,noise_pct,n_clusters,completeness,homogeneity,ami,ari,capture_detail
DINOv3_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.8206,6.8,2,0.1934,0.0111,0.0186,-0.0104,"{""Center"": 0.969, ""Donut"": 0.83, ""Edge-Loc"": 0.966, ""Edge-Ring"": 0.941, ""Loc"": 0.914, ""Near-full"": 0.667, ""Random"": 0.653, ""Scratch"": 0.625}"
DINOv3_frozen,hdb_unsup_sel,mcs20_ms10_eom_e0.0,0.7298,11.19,2,0.1874,0.0115,0.0192,-0.0114,"{""Center"": 0.931, ""Donut"": 0.723, ""Edge-Loc"": 0.942, ""Edge-Ring"": 0.936, ""Loc"": 0.842, ""Near-full"": 0.556, ""Random"": 0.373, ""Scratch"": 0.534}"
DINOv3_frozen,hdb_dbcv_sel,mcs20_ms10_eom_e0.0,0.7298,11.19,2,0.1874,0.0115,0.0192,-0.0114,"{""Center"": 0.931, ""Donut"": 0.723, ""Edge-Loc"": 0.942, ""Edge-Ring"": 0.936, ""Loc"": 0.842, ""Near-full"": 0.556, ""Random"": 0.373, ""Scratch"": 0.534}"
DINOv3_frozen,hdb_oracle,mcs40_ms10_leaf_e0.1,0.178,60.26,4,0.6072,0.7373,0.6633,0.6012,"{""Center"": 0.672, ""Donut"": 0.043, ""Edge-Loc"": 0.141, ""Edge-Ring"": 0.499, ""Loc"": 0.068, ""Near-full"": 0.0, ""Random"": 0.0, ""Scratch"": 0.0}"
DINOv3_frozen,kmeans_khat(k̂=2),silhouette-k,,0.0,2,,,,0.2458,
umap10+DINOv3_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.2779,13.49,28,0.3042,0.5858,0.3842,0.157,"{""Center"": 0.328, ""Donut"": 0.255, ""Edge-Loc"": 0.149, ""Edge-Ring"": 0.186, ""Loc"": 0.158, ""Near-full"": 0.333, ""Random"": 0.667, ""Scratch"": 0.148}"
umap10+DINOv3_frozen,hdb_unsup_sel,mcs5_ms10_leaf_e0.0,0.1355,38.45,66,0.2708,0.664,0.3375,0.0686,"{""Center"": 0.09, ""Donut"": 0.234, ""Edge-Loc"": 0.071, ""Edge-Ring"": 0.089, ""Loc"": 0.05, ""Near-full"": 0.222, ""Random"": 0.227, ""Scratch"": 0.102}"
umap10+DINOv3_frozen,hdb_dbcv_sel,mcs10_ms10_eom_e0.0,0.3086,11.35,38,0.2951,0.5928,0.373,0.1332,"{""Center"": 0.314, ""Donut"": 0.234, ""Edge-Loc"": 0.312, ""Edge-Ring"": 0.163, ""Loc"": 0.208, ""Near-full"": 0.333, ""Random"": 0.667, ""Scratch"": 0.239}"
umap10+DINOv3_frozen,hdb_oracle,mcs40_ms10_leaf_e0.0,0.33,16.02,15,0.3333,0.5301,0.3997,0.2085,"{""Center"": 0.545, ""Donut"": 0.383, ""Edge-Loc"": 0.191, ""Edge-Ring"": 0.186, ""Loc"": 0.165, ""Near-full"": 0.333, ""Random"": 0.667, ""Scratch"": 0.17}"
umap10+DINOv3_frozen,kmeans_khat(k̂=7),silhouette-k,,0.0,7,,,,0.2377,
FCMAE_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.8492,5.45,2,0.1842,0.0104,0.0173,-0.0107,"{""Center"": 0.983, ""Donut"": 0.681, ""Edge-Loc"": 0.971, ""Edge-Ring"": 0.949, ""Loc"": 0.914, ""Near-full"": 0.778, ""Random"": 0.813, ""Scratch"": 0.705}"
FCMAE_frozen,hdb_unsup_sel,mcs20_ms10_eom_e0.0,0.7781,8.77,2,0.1788,0.0106,0.0176,-0.0114,"{""Center"": 0.945, ""Donut"": 0.489, ""Edge-Loc"": 0.958, ""Edge-Ring"": 0.947, ""Loc"": 0.878, ""Near-full"": 0.778, ""Random"": 0.627, ""Scratch"": 0.602}"
FCMAE_frozen,hdb_dbcv_sel,mcs20_ms5_eom_e0.0,0.8492,5.45,2,0.1842,0.0104,0.0173,-0.0107,"{""Center"": 0.983, ""Donut"": 0.681, ""Edge-Loc"": 0.971, ""Edge-Ring"": 0.949, ""Loc"": 0.914, ""Near-full"": 0.778, ""Random"": 0.813, ""Scratch"": 0.705}"
FCMAE_frozen,hdb_oracle,mcs40_ms10_eom_e0.0,0.1582,63.35,4,0.7558,0.8041,0.7771,0.8876,"{""Center"": 0.338, ""Donut"": 0.0, ""Edge-Loc"": 0.16, ""Edge-Ring"": 0.688, ""Loc"": 0.057, ""Near-full"": 0.0, ""Random"": 0.0, ""Scratch"": 0.023}"
FCMAE_frozen,kmeans_khat(k̂=5),silhouette-k,,0.0,5,,,,0.3883,
umap10+FCMAE_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.3001,5.45,32,0.2913,0.5836,0.3721,0.1388,"{""Center"": 0.303, ""Donut"": 0.447, ""Edge-Loc"": 0.092, ""Edge-Ring"": 0.202, ""Loc"": 0.097, ""Near-full"": 0.333, ""Random"": 0.427, ""Scratch"": 0.5}"
umap10+FCMAE_frozen,hdb_unsup_sel,mcs5_ms10_leaf_e0.0,0.1367,30.19,69,0.2863,0.7042,0.3674,0.0732,"{""Center"": 0.09, ""Donut"": 0.319, ""Edge-Loc"": 0.079, ""Edge-Ring"": 0.095, ""Loc"": 0.05, ""Near-full"": 0.111, ""Random"": 0.213, ""Scratch"": 0.136}"
umap10+FCMAE_frozen,hdb_dbcv_sel,mcs5_ms10_eom_e0.2,0.2421,11.69,50,0.2974,0.6306,0.3787,0.1248,"{""Center"": 0.21, ""Donut"": 0.319, ""Edge-Loc"": 0.298, ""Edge-Ring"": 0.179, ""Loc"": 0.168, ""Near-full"": 0.222, ""Random"": 0.267, ""Scratch"": 0.273}"
umap10+FCMAE_frozen,hdb_oracle,mcs40_ms5_eom_e0.0,0.4143,8.83,15,0.347,0.5168,0.4064,0.2393,"{""Center"": 0.517, ""Donut"": 0.447, ""Edge-Loc"": 0.38, ""Edge-Ring"": 0.241, ""Loc"": 0.247, ""Near-full"": 0.556, ""Random"": 0.427, ""Scratch"": 0.5}"
umap10+FCMAE_frozen,kmeans_khat(k̂=3),silhouette-k,,0.0,3,,,,0.0398,
