method,top1,k5,kmeans_ARI,kmeans_NMI,kmeans_AMI,hdb_ARI,hdb_noise,npy
simclr,0.9407,0.9136,0.5935,0.5227,0.5222,0.0011,2.3,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ssl_embeddings\simclr_ep3.npy
vicreg,0.9407,0.92,0.5295,0.5035,0.5029,0.2523,35.2,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ssl_embeddings\vicreg_ep4.npy
FT:ft_all_lr2p5e6_head5e4,0.9267,0.9012,0.5294,0.4619,0.4612,0.4477,58.1,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2p5e6_head5e4_ep5.npy
FT:ft_all_lr2p5e6_head5e4_temp006,0.9313,0.9103,0.5265,0.4739,0.4732,0.2319,43.3,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2p5e6_head5e4_temp006_ep5.npy
FT:ft_all_lr2p75e6_head5e4,0.9313,0.8979,0.5255,0.4542,0.4535,0.3397,53.1,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2p75e6_head5e4_ep5.npy
FT:ft_all_lr2e6_head5e4,0.93,0.9048,0.5143,0.4671,0.4664,0.2039,35.6,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2e6_head5e4_ep5.npy
FT:ft_all_lr3e6_head5e4,0.9233,0.9029,0.5024,0.4618,0.4611,0.2128,48.0,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr3e6_head5e4_ep5.npy
FT:ft_all_lr2p5e6_head5e4_temp004,0.9327,0.9001,0.4969,0.4622,0.4616,0.201,53.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2p5e6_head5e4_temp004_ep5.npy
FT:ft_all_lr2e6,0.9373,0.9107,0.4948,0.4334,0.4327,0.4171,55.6,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2e6_ep3.npy
FT:ft_all_nnpos,0.9373,0.9107,0.4948,0.4334,0.4327,0.4171,55.6,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_nnpos_ep3.npy
FT:ft_all_lr1p5e6_head5e4,0.9253,0.9069,0.4878,0.4614,0.4608,0.223,34.3,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr1p5e6_head5e4_ep5.npy
FT:ft_all_lr2e6_head7e4,0.922,0.9049,0.486,0.4492,0.4485,0.2218,33.4,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2e6_head7e4_ep5.npy
FT:ft_all_lr5e6,0.9293,0.9079,0.4778,0.4592,0.4586,0.0008,0.9,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr5e6_ep5.npy
FT:ft_laststage_e10,0.9413,0.9247,0.4681,0.4328,0.4321,0.3717,48.6,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_e10_ep4.npy
FT:ft_laststage_lr3e6,0.9413,0.9247,0.4681,0.4328,0.4321,0.3717,48.6,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_ep4.npy
FT:ft_laststage_lr5e6_cuda,0.9407,0.9229,0.4575,0.4193,0.4186,0.2046,33.2,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr5e6_cuda_ep3.npy
FT:ft_all_lr2e6_head2e4,0.9233,0.9101,0.4574,0.4113,0.4106,0.2282,38.1,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr2e6_head2e4_ep3.npy
FT:ft_all_nnpos06,0.93,0.9024,0.4557,0.423,0.4223,0.358,52.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_nnpos06_ep6.npy
FT:ft_laststage_lr3e6_cuda_e10,0.938,0.9236,0.4555,0.4315,0.4308,0.199,38.4,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_cuda_e10_ep9.npy
FT:ft_laststage_lr3e6_ignore080_cuda,0.9433,0.9232,0.4479,0.4175,0.4168,0.0263,92.8,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_ignore080_cuda_ep4.npy
FT:ft_laststage_lr3e6_temp003_cuda,0.94,0.9276,0.4451,0.4031,0.4023,0.1977,35.3,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_temp003_cuda_ep4.npy
FT:ft_laststage_lr3e6_ignore060_cuda,0.936,0.9216,0.4417,0.4039,0.4032,0.3917,53.9,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_ignore060_cuda_ep3.npy
barlow,0.94,0.9129,0.4332,0.4029,0.4022,0.3819,52.2,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ssl_embeddings\barlow_ep4.npy
simsiam,0.9333,0.9176,0.4307,0.4412,0.4405,0.4022,63.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ssl_embeddings\simsiam_ep5.npy
FT:ft_laststage_lr3e6_temp007_cuda,0.9407,0.9256,0.4259,0.392,0.3913,0.0388,91.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_temp007_cuda_ep4.npy
FT:ft_laststage_lr3e6_ignore065_cuda,0.9387,0.9235,0.4215,0.3886,0.3879,0.2037,44.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr3e6_ignore065_cuda_ep3.npy
FT:ft_all_lr1e6_cuda,0.9307,0.9112,0.395,0.3647,0.3639,0.192,39.8,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr1e6_cuda_ep4.npy
FT:ft_laststage_lr5e6_probe,0.9327,0.9184,0.3501,0.3239,0.3231,0.167,37.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_laststage_lr5e6_probe_ep1.npy
FT:ft_all_lr1e6_probe,0.942,0.9143,0.3411,0.3291,0.3282,0.1486,38.4,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ft_embeddings\ft_all_lr1e6_probe_ep1.npy
DINOv3_frozen,0.9387,0.9143,0.3173,0.2957,0.2949,0.2874,75.6,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\embeddings\dinov3_convnext_base.npy
FCMAE_frozen,0.9447,0.9136,0.2047,0.2106,0.2096,0.0112,36.5,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\embeddings\FCMAE_baseline.npy
dino,0.93,0.8979,0.1735,0.1727,0.1716,0.2237,79.3,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ssl_embeddings\dino_ep1.npy
byol,0.9273,0.9016,0.0671,0.1054,0.1041,0.3587,74.9,D:\project\unknown-contrastive\result_grouping\_dinov3_ncd_autoloop\ssl_embeddings\byol_ep1.npy
