method,P1_capture,capture_count,class_coverage,P2_noise_pct,P3_completeness,P4_homogeneity,AMI,ARI,Sil_cos,k,fragment_ratio,n_clustered,clusterer,mcs,ms,eps
leaf_mcs2_ms1,1.0,42/42,0.1071,20.48,0.5644,0.9025,0.2732,0.0816,-0.0861,432,10.2857,1002,HDBSCAN,2,1,0.0
leaf_mcs4_ms1,1.0,42/42,0.1571,30.24,0.5805,0.7983,0.378,0.1716,-0.0168,194,4.619,879,HDBSCAN,4,1,0.0
leaf_mcs8_ms1,0.9048,38/42,0.231,34.92,0.6086,0.7033,0.4633,0.2776,0.1933,86,2.0476,820,HDBSCAN,8,1,0.0
leaf_mcs8_ms3,0.7619,32/42,0.2008,52.06,0.653,0.7248,0.5064,0.3267,0.2567,69,1.6429,604,HDBSCAN,8,3,0.0
leaf_mcs12_ms3,0.7143,30/42,0.2587,49.44,0.6705,0.6511,0.5353,0.3725,0.4082,44,1.0476,637,HDBSCAN,12,3,0.0
leaf_current_mcs12_ms15_eps006,0.0476,2/42,0.9659,3.33,0.9891,0.0794,0.1389,0.0091,0.9191,2,0.0476,1218,HDBSCAN,12,15,0.06
eom_mcs2_ms1,1.0,42/42,0.1167,18.65,0.5619,0.8909,0.2795,0.0874,-0.0931,420,10.0,1025,HDBSCAN,2,1,0.0
eom_mcs4_ms1,1.0,42/42,0.2048,25.24,0.5799,0.7647,0.4007,0.2241,-0.0505,171,4.0714,942,HDBSCAN,4,1,0.0
eom_mcs8_ms3,0.119,5/42,0.9698,0.71,0.893,0.1184,0.1769,0.0097,0.8101,6,0.1429,1251,HDBSCAN,8,3,0.0
eom_mcs12_ms3,0.3095,13/42,0.7595,12.22,0.7702,0.2932,0.3687,0.0408,-0.0173,13,0.3095,1106,HDBSCAN,12,3,0.0
oracle_kmeans_k42,0.6429,27/42,0.3524,0.0,0.5516,0.5129,0.4279,0.1468,0.5623,42,1.0,1260,oracle-K diagnostic,,,
oracle_agglo_ward_k42,0.6429,27/42,0.381,0.0,0.5661,0.5194,0.4407,0.1517,0.5347,42,1.0,1260,oracle-K diagnostic,,,
