arm,mcs,P1_capture,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil_cos,k,fragment_ratio,seed_noise_pct_무라벨
1_raw_원본,6,26/37,2.03,0.9466,0.8478,0.4814,0.8613,0.4117,40,1.0811,17.21
1_raw_원본,10,19/37,1.35,0.9897,0.817,0.4879,0.8696,0.45,30,0.8108,11.74
1_raw_원본,20,10/37,2.3,0.9741,0.7292,0.4086,0.8034,0.4284,22,0.5946,19.88
1_raw_원본,40,0/37,35.95,0.9208,0.5058,0.2542,0.6257,0.3325,7,0.1892,38.26
4_keepbg_마커만제거,6,34/37,2.57,0.9387,0.9333,0.8199,0.9134,0.4467,44,1.1892,23.6
4_keepbg_마커만제거,10,25/37,2.3,0.9695,0.898,0.7758,0.913,0.4557,35,0.9459,20.12
4_keepbg_마커만제거,20,14/37,1.35,0.9785,0.8244,0.6298,0.8715,0.4508,25,0.6757,16.4
4_keepbg_마커만제거,40,0/37,4.46,0.9308,0.5874,0.3131,0.6898,0.2934,12,0.3243,38.49
2_unify_경계통일+배경삭제,6,33/37,2.16,0.9415,0.9316,0.8149,0.9144,0.4502,44,1.1892,21.63
2_unify_경계통일+배경삭제,10,28/37,1.76,0.9564,0.9015,0.7766,0.9066,0.458,37,1.0,17.79
2_unify_경계통일+배경삭제,20,13/37,1.35,0.9724,0.7966,0.5587,0.8494,0.4821,24,0.6486,12.67
2_unify_경계통일+배경삭제,40,0/37,2.7,0.9486,0.5665,0.279,0.682,0.3305,11,0.2973,23.02
3_noborder_경계삭제+배경삭제,6,28/37,1.89,0.938,0.9064,0.7496,0.8961,0.4534,42,1.1351,18.14
3_noborder_경계삭제+배경삭제,10,25/37,1.49,0.9767,0.8956,0.7645,0.9161,0.4728,34,0.9189,14.88
3_noborder_경계삭제+배경삭제,20,13/37,1.62,0.9672,0.7935,0.5691,0.8448,0.4733,24,0.6486,14.65
3_noborder_경계삭제+배경삭제,40,0/37,25.14,0.982,0.638,0.3809,0.75,0.3596,11,0.2973,13.95
