subset,mcs,arm,P1_capture,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil_cos,k,fragment_ratio,seed_noise_pct_무라벨
0,6,1_raw,26/36,2.08,0.9391,0.8423,0.4664,0.8528,0.4008,41,1.1389,17.74
0,6,4_keepbg,35/36,2.78,0.9339,0.936,0.8226,0.9118,0.4438,45,1.25,25.36
0,6,2_unify,31/36,2.08,0.9445,0.9217,0.8007,0.9109,0.4582,43,1.1944,21.07
0,6,3_noborder,29/36,1.94,0.9291,0.9059,0.7482,0.8899,0.4463,43,1.1944,18.81
0,10,1_raw,19/36,1.39,0.9893,0.8104,0.4798,0.8652,0.4455,30,0.8333,11.9
0,10,4_keepbg,24/36,2.08,0.9736,0.8883,0.7585,0.9098,0.4541,34,0.9444,18.57
0,10,2_unify,28/36,1.67,0.9635,0.9022,0.7829,0.9122,0.4566,36,1.0,17.02
0,10,3_noborder,24/36,1.53,0.975,0.8908,0.7565,0.9123,0.4647,34,0.9444,15.24
1,6,1_raw,28/36,3.61,0.9594,0.8616,0.6221,0.8819,0.4249,36,1.0,30.24
1,6,4_keepbg,30/36,2.78,0.9735,0.9313,0.8383,0.9371,0.4476,37,1.0278,23.57
1,6,2_unify,32/36,2.08,0.9608,0.9393,0.8451,0.9334,0.4395,42,1.1667,19.52
1,6,3_noborder,30/36,1.94,0.9616,0.9282,0.8367,0.9272,0.4703,38,1.0556,18.57
1,10,1_raw,21/36,1.67,0.9802,0.8082,0.4709,0.8583,0.4582,31,0.8611,13.93
1,10,4_keepbg,26/36,2.36,0.9728,0.8875,0.7151,0.9081,0.4429,34,0.9444,20.24
1,10,2_unify,30/36,1.39,0.9808,0.9383,0.8569,0.9466,0.4714,37,1.0278,14.4
1,10,3_noborder,23/36,1.39,0.9795,0.9065,0.7921,0.9253,0.489,34,0.9444,13.45
2,6,1_raw,26/36,3.19,0.9334,0.8342,0.6103,0.8487,0.4057,34,0.9444,27.62
2,6,4_keepbg,27/36,1.81,0.9431,0.8892,0.7438,0.89,0.4454,37,1.0278,20.24
2,6,2_unify,32/36,1.53,0.9568,0.9322,0.8411,0.9264,0.4656,39,1.0833,22.14
2,6,3_noborder,27/36,1.39,0.9568,0.8976,0.7671,0.9047,0.4809,36,1.0,19.88
2,10,1_raw,24/36,3.06,0.9466,0.8259,0.5982,0.8521,0.4285,31,0.8611,26.43
2,10,4_keepbg,24/36,1.94,0.965,0.8679,0.6852,0.8907,0.4587,33,0.9167,21.55
2,10,2_unify,26/36,1.39,0.9778,0.9137,0.807,0.9288,0.4799,35,0.9722,18.33
2,10,3_noborder,21/36,0.97,0.9834,0.8564,0.6496,0.8946,0.4914,31,0.8611,14.76
3,6,1_raw,26/36,3.19,0.9345,0.8536,0.6634,0.8616,0.3392,37,1.0278,26.79
3,6,4_keepbg,31/36,2.78,0.9432,0.9331,0.8144,0.9168,0.4081,43,1.1944,23.45
3,6,2_unify,35/36,2.64,0.9459,0.9455,0.8599,0.9266,0.4226,43,1.1944,23.57
3,6,3_noborder,29/36,2.78,0.9339,0.9183,0.7872,0.9009,0.4536,42,1.1667,23.69
3,10,1_raw,20/36,3.19,0.9555,0.7947,0.5485,0.8377,0.35,28,0.7778,27.86
3,10,4_keepbg,24/36,2.08,0.981,0.9037,0.7735,0.9241,0.4197,35,0.9722,17.74
3,10,2_unify,23/36,1.53,0.979,0.8948,0.7707,0.9175,0.4889,33,0.9167,12.98
3,10,3_noborder,22/36,1.81,0.9739,0.8761,0.7295,0.9021,0.4999,32,0.8889,15.12
4,6,1_raw,27/36,4.17,0.9209,0.8192,0.5425,0.8297,0.3905,35,0.9722,35.83
4,6,4_keepbg,27/36,3.19,0.9367,0.8961,0.7299,0.889,0.4497,41,1.1389,27.5
4,6,2_unify,27/36,1.94,0.9729,0.9014,0.7714,0.9175,0.484,37,1.0278,18.69
4,6,3_noborder,26/36,2.22,0.9568,0.9027,0.7723,0.9077,0.4801,38,1.0556,19.52
4,10,1_raw,22/36,2.36,0.9635,0.7928,0.4583,0.8385,0.4263,30,0.8333,19.76
4,10,4_keepbg,23/36,2.5,0.9713,0.8588,0.6851,0.8892,0.4565,32,0.8889,21.79
4,10,2_unify,23/36,1.39,0.9817,0.8857,0.7536,0.9134,0.4987,32,0.8889,14.29
4,10,3_noborder,25/36,1.81,0.9701,0.8884,0.7614,0.9077,0.5044,34,0.9444,17.14
