embedding,embedding_name,method,P1_capture,recov,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,exclude_classes,recipe,epoch,nv_threshold,embedding_space,method_family
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,unkda_base_ep1,finch_p0(k891),1.0,0.8991,0.0,0.51,0.9393,0.0896,0.448,0.0788,891,32,216,27.84,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,1,,backbone,finch_p0(k891)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,unkda_base_ep1,finch_p1(k209),1.0,0.8241,0.0,0.6155,0.8817,0.3259,0.6581,0.1228,209,32,45,6.53,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,1,,backbone,finch_p1(k209)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,unkda_base_ep1,finch_p2(k60),0.9688,0.7478,0.0,0.7521,0.8251,0.5927,0.7691,0.2609,60,32,12,1.88,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,1,,backbone,finch_p2
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,unkda_base_ep1,finch_p3(k23),0.6562,0.545,0.0,0.8425,0.7077,0.4787,0.7613,0.3462,23,32,5,0.72,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,1,,backbone,finch_p3(k23)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,unkda_base_ep1,hdbscan_raw(옛다이얼),0.625,0.4163,47.95,0.9377,0.8863,0.766,0.904,0.5893,30,32,7,0.94,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,1,,backbone,hdbscan_raw(옛다이얼)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,unkda_base_ep1,louvain_res6,0.9375,0.7475,0.0,0.7617,0.8277,0.614,0.7769,0.3414,58,32,14,1.81,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,1,,backbone,louvain_res6
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,unkda_base_ep2,finch_p0(k858),1.0,0.9225,0.0,0.5211,0.9525,0.096,0.4747,0.0839,858,32,201,26.81,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,2,,backbone,finch_p0(k858)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,unkda_base_ep2,finch_p1(k198),1.0,0.8484,0.0,0.6399,0.8946,0.3593,0.6894,0.1214,198,32,45,6.19,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,2,,backbone,finch_p1(k198)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,unkda_base_ep2,finch_p2(k58),0.875,0.7847,0.0,0.8021,0.8491,0.5959,0.811,0.2954,58,32,12,1.81,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,2,,backbone,finch_p2
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,unkda_base_ep2,finch_p3(k21),0.5938,0.5234,0.0,0.8836,0.7276,0.5198,0.7919,0.352,21,32,6,0.66,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,2,,backbone,finch_p3(k21)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,unkda_base_ep2,hdbscan_raw(옛다이얼),0.6562,0.4316,45.22,0.9375,0.8786,0.7518,0.8997,0.6045,33,32,8,1.03,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,2,,backbone,hdbscan_raw(옛다이얼)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,unkda_base_ep2,louvain_res6,0.9375,0.8091,0.0,0.8056,0.8696,0.6878,0.8238,0.3349,57,32,13,1.78,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,2,,backbone,louvain_res6
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3.npy,unkda_base_ep3,finch_p0(k875),1.0,0.8987,0.0,0.5116,0.9406,0.0903,0.4522,0.0811,875,32,204,27.34,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_base,3,,backbone,finch_p0(k875)
