embedding,embedding_name,method,P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_count,legacy_presence_rate,recov,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,exclude_classes,dataset,protocol,label,recipe,primary_prefix
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,finch_p0(k668),1.0,7,7,7,1.0,0.7362,0.0,0.2237,0.7234,0.0135,0.231,-0.0158,668,7,100,95.43,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,frozen,DINOv3 frozen,finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,finch_p1(k123),1.0,7,7,7,1.0,0.6666,0.0,0.2414,0.5657,0.0623,0.3125,0.0035,123,7,17,17.57,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,frozen,DINOv3 frozen,finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,finch_p2(k28),1.0,7,7,7,1.0,0.5975,0.0,0.267,0.4348,0.1492,0.3237,0.0572,28,7,4,4.0,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,frozen,DINOv3 frozen,finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,finch_p3(k7),0.5714,4,7,7,1.0,0.3777,0.0,0.2738,0.2324,0.139,0.2489,0.0534,7,7,1,1.0,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,frozen,DINOv3 frozen,finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,louvain_res6,1.0,7,7,7,1.0,0.6835,0.0,0.2701,0.539,0.1149,0.348,0.0771,53,7,7,7.57,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,frozen,DINOv3 frozen,finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,hdbscan_raw(옛다이얼),0.2857,2,7,4,0.5714,0.1235,90.03,0.3445,0.9441,0.3049,0.4964,0.6985,7,7,2,1.0,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,frozen,DINOv3 frozen,finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\wm_l03_ig75_s4_ep8.npy,wm_l03_ig75_s4_ep8,finch_p0(k619),1.0,7,7,7,1.0,0.7576,0.0,0.2384,0.7464,0.0177,0.2642,-0.0637,619,7,114,88.43,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,candidate,"SimCLR + queue4096 + local0.3 + ignore0.75, seed4 ep8",finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\wm_l03_ig75_s4_ep8.npy,wm_l03_ig75_s4_ep8,finch_p1(k90),1.0,7,7,7,1.0,0.6922,0.0,0.3035,0.6104,0.13,0.3877,-0.0919,90,7,18,12.86,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,candidate,"SimCLR + queue4096 + local0.3 + ignore0.75, seed4 ep8",finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\wm_l03_ig75_s4_ep8.npy,wm_l03_ig75_s4_ep8,finch_p2(k18),1.0,7,7,7,1.0,0.6444,0.0,0.4482,0.5198,0.3327,0.4774,-0.0101,18,7,4,2.57,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,candidate,"SimCLR + queue4096 + local0.3 + ignore0.75, seed4 ep8",finch_p2(
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\wm_l03_ig75_s4_ep8.npy,wm_l03_ig75_s4_ep8,finch_p3(k6),0.7143,5,7,7,1.0,0.4556,0.0,0.5152,0.3606,0.302,0.4225,0.1144,6,7,1,0.86,"Normal,R,Random",WM-811K,strict-novel / Normal-only train,candidate,"SimCLR + queue4096 + local0.3 + ignore0.75, seed4 ep8",finch_p2(
