class,frozen_captured,candidate_captured,capture_change,frozen_best_coverage,candidate_best_coverage,coverage_delta,frozen_main,candidate_main,frozen_best_cluster,candidate_best_cluster
BrokenRing,True,True,0,0.72,0.78,0.06000000000000005,BrokenRing,BrokenRing,0,0
CenterCircle,True,True,0,0.75,1.0,0.25,CenterCircle,CenterCircle,9,9
CenterDonut,True,True,0,0.48,0.7,0.21999999999999997,CenterDonut,CenterDonut,11,11
Center_fork,False,True,1,0.83,0.4,-0.42999999999999994,Donut_fork,Center_scratch,3,4
Center_invalid_main,True,True,0,1.0,1.0,0.0,Center_invalid_main,Center_invalid_main,4,7
Center_scratch_rot,True,True,0,0.97,0.58,-0.39,Center_scratch_rot,Center_scratch_rot,8,8
CrescentArc,True,True,0,0.67,0.64,-0.030000000000000027,CrescentArc,CrescentArc,15,12
CrossScratch,True,True,0,0.46,1.0,0.54,CrossScratch,CrossScratch,17,14
DiagonalSmear,True,True,0,0.68,1.0,0.31999999999999995,DiagonalSmear,DiagonalSmear,19,15
Donut_invalid_main,True,True,0,0.98,1.0,0.020000000000000018,Donut_invalid_main,Donut_invalid_main,23,20
Donut_scratch,True,True,0,0.96,0.98,0.020000000000000018,Donut_scratch,Donut_scratch,7,21
Donut_scratch_rot,True,True,0,0.99,0.99,0.0,Donut_scratch_rot,Donut_scratch_rot,24,19
Edge-Bottom_bank_boundary,True,True,0,0.43,0.33,-0.09999999999999998,Edge-Bottom_bank_boundary,Edge-Bottom_scratch_rot,26,27
Edge-Bottom_fork,True,True,0,0.48,0.26,-0.21999999999999997,Edge-Bottom_fork,Edge-Bottom_fork,25,24
Edge-Bottom_invalid_main,True,True,0,0.7,0.54,-0.15999999999999992,Edge-Bottom_invalid_main,Edge-Top_invalid_main,34,28
Edge-Bottom_scratch,True,True,0,0.38,0.32,-0.06,Edge-Bottom_scratch,Edge-Bottom_scratch_rot,31,27
Edge-Bottom_scratch_rot,False,True,1,0.27,0.37,0.09999999999999998,Edge-Bottom_scratch,Edge-Bottom_scratch_rot,31,27
Edge-Ring_fork,True,True,0,1.0,0.6,-0.4,Edge-Ring_fork,Edge-Ring_bank_boundary,37,33
Edge-Ring_invalid_main,True,True,0,1.0,1.0,0.0,Edge-Ring_invalid_main,Edge-Ring_invalid_main,38,36
Edge-Ring_scratch_rot,True,True,0,0.98,0.51,-0.47,Edge-Ring_scratch_rot,Edge-Ring_bank_boundary,40,33
Edge-Top_bank_boundary,True,True,0,0.4,0.31,-0.09000000000000002,Edge-Top_bank_boundary,Edge-Top_scratch_rot,41,23
Edge-Top_invalid_main,True,True,0,0.38,0.94,0.5599999999999999,Edge-Bottom_invalid_main,Edge-Top_invalid_main,34,28
Edge-Top_scratch,True,False,-1,0.53,0.42,-0.11000000000000004,Edge-Top_scratch,Edge-Top_scratch_rot,27,23
Edge-Top_scratch_rot,True,True,0,0.42,0.5,0.08000000000000002,Edge-Top_scratch_rot,Edge-Top_scratch_rot,32,23
Full_bank_boundary,True,True,0,1.0,1.0,0.0,Full_bank_boundary,Full_bank_boundary,42,39
Full_fork,True,True,0,1.0,0.69,-0.31000000000000005,Full_fork,Full_fork,43,40
Full_invalid_main,True,True,0,1.0,1.0,0.0,Full_invalid_main,Full_invalid_main,44,42
Full_scratch_rot,True,True,0,0.62,1.0,0.38,Full_scratch_rot,Full_scratch_rot,46,45
Row,True,True,0,1.0,0.45,-0.55,Row,Row,53,50
Starburst,True,True,0,0.82,0.56,-0.2599999999999999,Starburst,Starburst,54,54
Thick-Edge_fork,True,True,0,1.0,0.88,-0.12,Thick-Edge_fork,Thick-Edge_fork,56,55
Thick-Edge_invalid_main,True,True,0,1.0,0.99,-0.010000000000000009,Thick-Edge_invalid_main,Thick-Edge_invalid_main,57,56
