embedding,embedding_name,method,P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_count,legacy_presence_rate,recov,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,exclude_classes
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2_proj.npy,unkda_base_ep2_proj,finch_p0(k919),1.0,32,32,32,1.0,0.78,0.0,0.4887,0.9096,0.0692,0.3979,0.1195,919,32,227,28.72,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2_proj.npy,unkda_base_ep2_proj,finch_p1(k227),1.0,32,32,32,1.0,0.7388,0.0,0.5757,0.8401,0.243,0.5996,0.1196,227,32,49,7.09,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2_proj.npy,unkda_base_ep2_proj,finch_p2(k59),0.8125,26,32,32,1.0,0.6025,0.0,0.729,0.7574,0.3994,0.7208,0.2586,59,32,14,1.84,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2_proj.npy,unkda_base_ep2_proj,finch_p3(k16),0.375,12,32,32,1.0,0.2772,0.0,0.8188,0.6174,0.3604,0.6962,0.304,16,32,2,0.5,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2_proj.npy,unkda_base_ep2_proj,louvain_res6,0.9688,31,32,32,1.0,0.6875,0.0,0.7088,0.7975,0.5447,0.7276,0.3312,62,32,12,1.94,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2_proj.npy,unkda_base_ep2_proj,hdbscan_raw(옛다이얼),0.5625,18,32,32,1.0,0.3437,60.34,0.872,0.8968,0.7491,0.8716,0.6546,32,32,5,1.0,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3_proj.npy,unkda_base_ep3_proj,finch_p0(k948),1.0,32,32,32,1.0,0.7478,0.0,0.4798,0.904,0.0599,0.3731,0.1314,948,32,235,29.62,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3_proj.npy,unkda_base_ep3_proj,finch_p1(k224),1.0,32,32,32,1.0,0.6825,0.0,0.5619,0.8176,0.2298,0.5781,0.1371,224,32,59,7.0,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3_proj.npy,unkda_base_ep3_proj,finch_p2(k57),0.9062,29,32,32,1.0,0.634,0.0,0.6999,0.7499,0.4351,0.6999,0.2515,57,32,11,1.78,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3_proj.npy,unkda_base_ep3_proj,finch_p3(k14),0.2812,9,32,32,1.0,0.225,0.0,0.7729,0.5451,0.2953,0.6316,0.284,14,32,3,0.44,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3_proj.npy,unkda_base_ep3_proj,louvain_res6,0.875,28,32,32,1.0,0.6503,0.0,0.6882,0.7813,0.4958,0.7064,0.3465,63,32,14,1.97,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3_proj.npy,unkda_base_ep3_proj,hdbscan_raw(옛다이얼),0.4688,15,32,28,0.875,0.3391,59.03,0.874,0.9051,0.7433,0.8793,0.6652,29,32,4,0.91,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1_proj.npy,unkda_nv050_ep1_proj,finch_p0(k1072),1.0,32,32,32,1.0,0.7684,0.0,0.4782,0.9183,0.0527,0.3583,0.2275,1072,32,273,33.5,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1_proj.npy,unkda_nv050_ep1_proj,finch_p1(k259),1.0,32,32,32,1.0,0.6931,0.0,0.5639,0.8531,0.2142,0.5835,0.1682,259,32,61,8.09,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1_proj.npy,unkda_nv050_ep1_proj,finch_p2(k59),0.8438,27,32,32,1.0,0.5722,0.0,0.696,0.7688,0.4602,0.7066,0.225,59,32,13,1.84,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1_proj.npy,unkda_nv050_ep1_proj,finch_p3(k15),0.375,12,32,32,1.0,0.2912,0.0,0.7976,0.5819,0.3252,0.6647,-0.0237,15,32,4,0.47,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1_proj.npy,unkda_nv050_ep1_proj,louvain_res6,0.8438,27,32,32,1.0,0.6006,0.0,0.6946,0.7849,0.5027,0.713,0.3326,60,32,16,1.88,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1_proj.npy,unkda_nv050_ep1_proj,hdbscan_raw(옛다이얼),0.0,0,32,32,1.0,0.0,1.08,0.9798,0.1311,0.0254,0.2293,0.9647,2,32,0,0.06,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep2_proj.npy,unkda_nv050_ep2_proj,finch_p0(k1068),1.0,32,32,32,1.0,0.7463,0.0,0.4689,0.904,0.0463,0.3346,0.2033,1068,32,262,33.38,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
