P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_rate,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,recipe,epoch,threshold,embedding,label,embedding_mtime_ns,method,p1_nonregress,p2_nonregress,p3_nonregress,p4_nonregress,ari_nonregress,sil_nonregress,primary_gate,core_gate
0.9375,30,32,1.0,0.0,0.8302,0.8918,0.709,0.8491,0.304480105638504,58,32,13,1.8125,frozen,0,,D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,DINOv3 frozen,1783565383203819600,finch_p2,True,True,True,True,True,True,True,True
0.9688,31,32,1.0,0.0,0.8684,0.9075,0.785,0.88,0.3775315284729004,52,32,12,1.625,frozen,0,,D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,DINOv3 frozen,1783565383203819600,louvain_res6,True,True,True,True,True,True,True,True
0.9375,30,32,1.0,0.0,0.7521,0.8251,0.5927,0.7691,0.2608539760112762,60,32,12,1.875,unkda_base,1,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,SimCLR base,1783644535166236500,finch_p2,True,True,False,False,False,False,False,False
0.8125,26,32,1.0,0.0,0.7617,0.8277,0.614,0.7769,0.3414433300495147,58,32,14,1.8125,unkda_base,1,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep1.npy,SimCLR base,1783644535166236500,louvain_res6,False,True,False,False,False,False,False,False
0.8125,26,32,1.0,0.0,0.8021,0.8491,0.5959,0.811,0.2953847646713257,58,32,12,1.8125,unkda_base,2,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,SimCLR base,1783645566643738400,finch_p2,False,True,False,False,False,False,False,False
0.9062,29,32,1.0,0.0,0.8056,0.8696,0.6878,0.8238,0.3349498212337494,57,32,13,1.78125,unkda_base,2,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep2.npy,SimCLR base,1783645566643738400,louvain_res6,False,True,False,False,False,False,False,False
0.9375,30,32,1.0,0.0,0.7585,0.8126,0.538,0.7676,0.3041214048862457,54,32,10,1.6875,unkda_base,3,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3.npy,SimCLR base,1783646573403577100,finch_p2,True,True,False,False,False,False,False,False
0.875,28,32,1.0,0.0,0.7735,0.8439,0.6281,0.7917,0.3429700434207916,57,32,11,1.78125,unkda_base,3,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep3.npy,SimCLR base,1783646573403577100,louvain_res6,False,True,False,False,False,False,False,False
0.8125,26,32,1.0,0.0,0.7798,0.8146,0.5842,0.7824,0.3243346810340881,49,32,11,1.53125,unkda_base,4,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep4.npy,SimCLR base,1783647722998044600,finch_p2,False,True,False,False,False,True,False,False
0.9062,29,32,1.0,0.0,0.779,0.8368,0.6454,0.7925,0.3467144072055816,53,32,11,1.65625,unkda_base,4,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep4.npy,SimCLR base,1783647722998044600,louvain_res6,False,True,False,False,False,False,False,False
