run_ts,run_tag,recipe,group,cfg,sel,mcs,ms,eps,n_clusters,n_noise,noise_pct,ARI_wN,ARI_woN,AMI,NMI,Hom,Comp,Sil,capture
260511_185039,B5_s42,Local+Queue+NEG+NeCo,B5,C1,eom,12,3,0.06,38,179,8.34,0.7981,0.858,0.92,0.9297,0.9493,0.911,0.4061,1.0
260511_185039,B5_s42,Local+Queue+NEG+NeCo,B5,C2,leaf,12,4,0.06,43,812,37.84,0.6897,0.8619,0.8731,0.8898,0.9326,0.8506,0.7691,1.0
260511_185039,B5_s42,Local+Queue+NEG+NeCo,B5,C3,leaf,15,3,0.0,40,810,37.74,0.6968,0.8815,0.8854,0.8999,0.9358,0.8667,0.7616,0.9762
260512_001719,NEW_s42,Queue+NEG+NeCo (no Local),NEW,C1,eom,12,3,0.06,39,153,7.13,0.8269,0.8682,0.9257,0.9349,0.9531,0.9173,0.3972,1.0
260512_001719,NEW_s42,Queue+NEG+NeCo (no Local),NEW,C2,leaf,12,4,0.06,43,834,38.86,0.7062,0.8616,0.8762,0.8925,0.93,0.8578,0.7701,1.0
260512_001719,NEW_s42,Queue+NEG+NeCo (no Local),NEW,C3,leaf,15,3,0.0,42,764,35.6,0.6638,0.8806,0.8757,0.8919,0.9437,0.8455,0.7432,1.0
260512_010113,NEW_s1,Queue+NEG+NeCo (no Local),NEW,C1,eom,12,3,0.06,37,244,11.37,0.6865,0.8477,0.8943,0.9069,0.9407,0.8754,0.5548,1.0
260512_010113,NEW_s1,Queue+NEG+NeCo (no Local),NEW,C2,leaf,12,4,0.06,43,787,36.67,0.6473,0.8464,0.8576,0.8762,0.9221,0.8347,0.7349,1.0
260512_010113,NEW_s1,Queue+NEG+NeCo (no Local),NEW,C3,leaf,15,3,0.0,42,747,34.81,0.6394,0.8759,0.8663,0.8837,0.9395,0.8342,0.7319,1.0
260512_014507,NEW_s2,Queue+NEG+NeCo (no Local),NEW,C1,eom,12,3,0.06,38,279,13.0,0.699,0.8488,0.8942,0.9069,0.9355,0.8801,0.4633,1.0
260512_014507,NEW_s2,Queue+NEG+NeCo (no Local),NEW,C2,leaf,12,4,0.06,41,868,40.45,0.7421,0.832,0.8771,0.8929,0.9185,0.8687,0.7859,1.0
260512_014507,NEW_s2,Queue+NEG+NeCo (no Local),NEW,C3,leaf,15,3,0.0,40,843,39.28,0.7413,0.8488,0.8867,0.901,0.9299,0.8739,0.7703,1.0
260512_093943,NEWnoNeCo_s3,Queue+NEG only,NEW-noNeCo,C1,eom,12,3,0.06,37,144,6.71,0.8518,0.8214,0.9182,0.928,0.9339,0.9221,0.3813,1.0
260512_093943,NEWnoNeCo_s3,Queue+NEG only,NEW-noNeCo,C2,leaf,12,4,0.06,40,916,42.68,0.6683,0.7602,0.8453,0.8651,0.8775,0.8529,0.7647,1.0
260512_093943,NEWnoNeCo_s3,Queue+NEG only,NEW-noNeCo,C3,leaf,15,3,0.0,41,862,40.17,0.6562,0.8094,0.8501,0.8695,0.8976,0.8431,0.7363,1.0
260512_114525,B4noNeCo_s1,Local+Queue+NEG (no NeCo),B4-noNeCo,C1,eom,12,3,0.06,34,131,6.1,0.854,0.8122,0.9192,0.9285,0.9289,0.928,0.478,1.0
260512_114525,B4noNeCo_s1,Local+Queue+NEG (no NeCo),B4-noNeCo,C2,leaf,12,4,0.06,39,795,37.05,0.6127,0.8085,0.8485,0.8672,0.8979,0.8385,0.7286,0.9762
260512_114525,B4noNeCo_s1,Local+Queue+NEG (no NeCo),B4-noNeCo,C3,leaf,15,3,0.0,39,621,28.94,0.5171,0.8282,0.8436,0.8626,0.9097,0.8202,0.644,0.9762
260512_125353,B4noNeCo_s2,"Local+Queue+NEG (no NeCo, B8)",B4-noNeCo,C1,eom,12,3,0.06,37,184,8.57,0.8022,0.8605,0.9169,0.9269,0.9426,0.9117,0.4693,1.0
260512_125353,B4noNeCo_s2,"Local+Queue+NEG (no NeCo, B8)",B4-noNeCo,C2,leaf,12,4,0.06,38,900,41.94,0.8138,0.8576,0.9104,0.9215,0.9328,0.9104,0.7914,1.0
260512_125353,B4noNeCo_s2,"Local+Queue+NEG (no NeCo, B8)",B4-noNeCo,C3,leaf,15,3,0.0,37,184,8.57,0.8022,0.8605,0.9169,0.9269,0.9426,0.9117,0.4693,1.0
